COMUNA,LOCAL DE VOTACION,NOMBRE DEL CANDIDATO,VOTOS,CALLE,NUMERO,LATITUD,LONGITUD,Lista
SAN MIGUEL,colegio bicentenario santo cura de ars,Eva Marian Merino Garces,208,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Fabio Stefano Zunino Poblete,16,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Felipe Guevara Stephens,215,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Fernando Gabriel Zambrano Urrutia,54,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Gabriel Alejandro Zuñiga Aravena,147,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Gabriel Antonio Muñoz De La Fuente,25,CARMEN MENA,939,-33.5068,-70.6519,T
SAN MIGUEL,colegio bicentenario santo cura de ars,Grace Novoa Castillo,9,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Guillermo Zacarias Aravena Mondaca,4,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,Gustavo Adolfo Vergara Caceres,34,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Hector Enrique Chacon Carvajal,15,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Helen Beatriz Gutierrez Nuñez,65,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Ismael Selumiel Mena Abrigo,19,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,Jacqueline Barahona Assicie,37,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Jeannette Gonzalez Albornoz,46,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Jennifer Carolina Mardones Mardones,41,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Joaquin Andres Parra Arancibia,7,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Jose Luis Oyarce Garay,62,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Joshua Andrei Carcamo Solar,118,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Lisette Wendoline Roa Aedo,17,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Luis Humberto Sanhueza Bravo,185,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Luisa Cristina Alves Flores,5,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Luz Marina Garrido De La Vega,24,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Marcela Susana Arias Garcia,57,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Maria Eugenia Tamar Arce Soto,15,CARMEN MENA,939,-33.5068,-70.6519,T
SAN MIGUEL,colegio bicentenario santo cura de ars,Matias Andres Aranguiz Kahn,9,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,Michael Elias Lagos Guajardo,15,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Mitzy Alejandra Ramirez Vidal,31,CARMEN MENA,939,-33.5068,-70.6519,T
SAN MIGUEL,colegio bicentenario santo cura de ars,Monica Alejandra Squella Rojas,12,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Monica Gloria Reyes Riffo,51,CARMEN MENA,939,-33.5068,-70.6519,B
SAN MIGUEL,colegio bicentenario santo cura de ars,Pablo Esteban Leal Sepulveda,80,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Pablo Ignacio Zola Corvalan,29,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Pamela Angella Pistono Tiboni,97,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Pedro Alejandro Valenzuela Yañez,42,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Rafael Alejandro Chacon Rebolledo,28,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Ricardo Alberto Alegria Abarca,24,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Rodolfo Antonio Silva Norambuena,7,CARMEN MENA,939,-33.5068,-70.6519,T
SAN MIGUEL,colegio bicentenario santo cura de ars,Rodrigo Loyola Arancibia,51,CARMEN MENA,939,-33.5068,-70.6519,B
SAN MIGUEL,colegio bicentenario santo cura de ars,Ruben Carvacho Saez,136,CARMEN MENA,939,-33.5068,-70.6519,E
